"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: pooledObjectsCount","Param: sharedObjectKeepPercentage","Param: type"
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,597.933168,21.884577,"ns/op",1,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,1066.398454,7.174297,"ns/op",1,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,1664.051127,37.626055,"ns/op",1,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,576.778856,46.686700,"ns/op",1,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,1045.155538,35.289093,"ns/op",1,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,1717.450486,94.384155,"ns/op",1,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,349.017759,31.126763,"ns/op",1,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,554.689323,10.233679,"ns/op",1,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,913.268028,31.968229,"ns/op",1,1.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,378.881260,40.621910,"ns/op",10,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,987.225673,40.829702,"ns/op",10,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,824.838241,22.432374,"ns/op",10,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,269.351433,15.308222,"ns/op",10,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,665.493918,13.609529,"ns/op",10,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,612.483583,11.988693,"ns/op",10,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,211.419256,3.130945,"ns/op",10,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,335.237324,5.938782,"ns/op",10,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,361.271124,0.987848,"ns/op",10,1.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,374.810038,95.760254,"ns/op",100,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,794.757774,61.316770,"ns/op",100,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,537.997068,5.784872,"ns/op",100,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,243.910305,10.150739,"ns/op",100,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,598.163990,41.128493,"ns/op",100,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,415.837809,2.687356,"ns/op",100,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,155.768453,8.265297,"ns/op",100,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,230.059309,14.383142,"ns/op",100,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,299.809050,2.562013,"ns/op",100,1.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,402.706635,46.336983,"ns/op",1000,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,803.471887,69.139753,"ns/op",1000,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,525.392937,9.977112,"ns/op",1000,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,244.539674,7.602337,"ns/op",1000,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,568.056032,19.724106,"ns/op",1000,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,393.318224,2.439768,"ns/op",1000,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,175.073281,6.145664,"ns/op",1000,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,225.496056,0.569740,"ns/op",1000,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",2,5,300.896485,2.235968,"ns/op",1000,1.0,concurrent
