"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: pooledObjectsCount","Param: tokens"
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooled","avgt",1,5,2.005637,0.014874,"ns/op",,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooled","avgt",1,5,9.356939,0.014694,"ns/op",,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooled","avgt",1,5,148.496027,0.037254,"ns/op",,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooledAndShared","avgt",1,5,68.803205,0.319425,"ns/op",,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooledAndShared","avgt",1,5,70.117597,0.088464,"ns/op",,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooledAndShared","avgt",1,5,209.766895,0.284734,"ns/op",,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",1,5,66.787009,0.051030,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",1,5,70.283071,0.092787,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",1,5,212.832679,0.329477,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",1,5,68.621747,0.142797,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",1,5,77.608673,0.894211,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",1,5,213.869084,1.496784,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",1,5,68.446463,0.063490,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",1,5,77.225821,0.179607,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",1,5,206.311588,1.380181,"ns/op",100,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",1,5,3.571699,0.005454,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",1,5,12.184503,0.023007,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",1,5,150.282747,0.206326,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",1,5,5.784852,0.000593,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",1,5,14.359039,0.008261,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",1,5,152.759078,0.543376,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",1,5,6.090630,0.029771,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",1,5,14.174530,0.004712,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",1,5,152.357751,0.139704,"ns/op",100,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",1,5,19.348057,0.025328,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",1,5,25.456655,0.005376,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",1,5,162.986611,0.049149,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",1,5,21.676742,1.013021,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",1,5,31.137170,2.393672,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",1,5,170.130319,0.427773,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",1,5,21.795252,0.026184,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",1,5,30.817099,0.093776,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",1,5,166.500166,1.924017,"ns/op",100,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",1,5,3.338916,0.000296,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",1,5,3.339494,0.006096,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",1,5,3.337841,0.000361,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",1,5,5.122254,0.005247,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",1,5,5.121435,0.003644,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",1,5,5.242372,0.005808,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",1,5,5.244026,0.003575,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",1,5,5.242549,0.008499,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",1,5,5.244183,0.004006,"ns/op",100,100
