"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: tokens","Param: type","Param: wrapped"
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,459.952599,0.710406,"ns/op",300,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,483.888814,0.544760,"ns/op",300,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,468.662852,0.320640,"ns/op",300,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,479.548459,5.125167,"ns/op",300,sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,465.359777,0.915424,"ns/op",300,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,496.466930,0.767735,"ns/op",300,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,472.226613,1.518186,"ns/op",300,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,496.963241,0.544961,"ns/op",300,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,471.860018,1.646215,"ns/op",300,reflection-sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,627.821459,0.997435,"ns/op",400,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,616.025729,0.405768,"ns/op",400,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,645.665938,0.988389,"ns/op",400,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,624.393945,0.823591,"ns/op",400,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,635.930957,0.699852,"ns/op",400,sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",1,5,621.529682,0.944573,"ns/op",400,sync,false
