"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: pooledObjectsCount","Param: sharedObjectKeepPercentage","Param: type"
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,1914.710350,160.262134,"ns/op",1,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,3609.745949,219.015607,"ns/op",1,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,2233.501091,30.422285,"ns/op",1,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,1871.053319,313.245372,"ns/op",1,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,3693.922830,552.220988,"ns/op",1,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,2219.231704,86.514230,"ns/op",1,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,1101.739936,46.475416,"ns/op",1,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,927.201248,25.661174,"ns/op",1,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,1963.948436,6.365220,"ns/op",1,1.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,1354.218544,274.316633,"ns/op",10,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,3318.845338,444.338616,"ns/op",10,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,1243.285984,11.738339,"ns/op",10,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,966.470720,129.803332,"ns/op",10,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,2452.815614,82.952763,"ns/op",10,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,1001.898066,4.836856,"ns/op",10,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,387.072569,4.106601,"ns/op",10,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,611.634503,0.892884,"ns/op",10,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,512.780277,19.486736,"ns/op",10,1.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,1132.596229,114.288964,"ns/op",100,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,3287.057462,80.537628,"ns/op",100,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,758.217471,10.468584,"ns/op",100,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,847.805426,54.730628,"ns/op",100,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,2552.873805,77.406441,"ns/op",100,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,501.511405,16.330748,"ns/op",100,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,478.399195,72.766872,"ns/op",100,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,529.510905,2.000492,"ns/op",100,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,360.733651,3.027121,"ns/op",100,1.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,1093.623400,78.053281,"ns/op",1000,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,3371.007693,112.124940,"ns/op",1000,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,680.420159,27.327763,"ns/op",1000,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,897.495093,168.220729,"ns/op",1000,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,2637.391799,200.714688,"ns/op",1000,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,423.995386,2.394643,"ns/op",1000,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,552.608858,97.055258,"ns/op",1000,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,558.931108,1.820883,"ns/op",1000,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",4,5,335.785824,7.869622,"ns/op",1000,1.0,concurrent
