"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: pooledObjectsCount","Param: tokens"
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",6,5,348.382193,4.595522,"ns/op",100,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",6,5,5.650628,0.325586,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",6,5,19.055874,0.816437,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",6,5,232.308139,8.939399,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",6,5,8.873847,0.527607,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",6,5,21.285854,0.849606,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",6,5,233.933702,12.144921,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",6,5,8.618897,0.446271,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",6,5,21.908662,1.885441,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",6,5,235.215597,12.097261,"ns/op",100,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",6,5,790.573897,10.673389,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",6,5,734.606048,11.969035,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",6,5,897.902388,42.215023,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",6,5,184.015043,2.624144,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",6,5,181.516791,2.715902,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",6,5,384.936527,9.085491,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",6,5,80.743591,12.643762,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",6,5,115.359755,0.868434,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",6,5,300.803035,17.944067,"ns/op",100,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",6,5,5.151273,0.259118,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",6,5,5.171914,0.242157,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",6,5,5.165913,0.212217,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",6,5,7.939815,0.401525,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",6,5,8.182966,0.393245,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",6,5,8.157351,0.293388,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",6,5,8.049767,0.380040,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",6,5,8.300112,0.242445,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",6,5,7.990388,0.426137,"ns/op",100,100
