"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: pooledObjectsCount","Param: tokens"
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooled","avgt",6,5,3.116504,0.159796,"ns/op",,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooled","avgt",6,5,14.388699,0.610001,"ns/op",,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooled","avgt",6,5,229.818506,13.874495,"ns/op",,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooledAndShared","avgt",6,5,201.871964,5.847033,"ns/op",,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooledAndShared","avgt",6,5,135.533689,1.594363,"ns/op",,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooledAndShared","avgt",6,5,370.512289,2.435989,"ns/op",,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",6,5,196.494992,0.942381,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",6,5,136.423606,0.731686,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",6,5,356.094022,8.876929,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",6,5,134.214883,4.421259,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",6,5,140.297449,4.398128,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",6,5,342.174122,5.000520,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",6,5,142.925784,2.069028,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",6,5,144.618954,1.285752,"ns/op",100,10
