"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: pooledObjectsCount","Param: tokens"
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooled","avgt",4,5,2.008966,0.003538,"ns/op",,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooled","avgt",4,5,9.413166,0.116597,"ns/op",,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooled","avgt",4,5,149.341566,2.176906,"ns/op",,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooledAndShared","avgt",4,5,136.832394,0.806925,"ns/op",,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooledAndShared","avgt",4,5,106.315858,0.721737,"ns/op",,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooledAndShared","avgt",4,5,239.617325,1.323323,"ns/op",,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",4,5,127.321102,0.758307,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",4,5,97.343338,0.729534,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",4,5,224.951085,5.598713,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",4,5,104.917260,2.056784,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",4,5,95.187407,3.456152,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",4,5,222.200402,1.507888,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",4,5,99.872856,0.725129,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",4,5,93.261879,3.348782,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",4,5,222.484408,3.544534,"ns/op",100,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",4,5,3.602430,0.079817,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",4,5,12.254901,0.043372,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",4,5,150.707936,0.570680,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",4,5,5.800794,0.008441,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",4,5,14.133817,0.291043,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",4,5,153.721611,3.218110,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",4,5,5.921445,0.077278,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",4,5,14.023083,0.213071,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",4,5,152.788016,0.565256,"ns/op",100,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",4,5,632.510515,1.606605,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",4,5,572.847446,12.347692,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",4,5,571.598998,2.086085,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",4,5,111.292312,0.757325,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",4,5,126.268515,0.236815,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",4,5,244.361698,3.484875,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",4,5,52.948136,6.270172,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",4,5,68.779960,4.861369,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",4,5,202.239166,4.524292,"ns/op",100,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",4,5,3.360591,0.074542,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",4,5,3.354213,0.017102,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",4,5,3.351384,0.014854,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",4,5,5.207147,0.022626,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",4,5,5.208240,0.020826,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",4,5,5.337296,0.102396,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",4,5,5.239697,0.111451,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",4,5,5.326279,0.032011,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",4,5,5.210293,0.052585,"ns/op",100,100
