"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: tokens","Param: type","Param: wrapped"
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,18.980183,0.073431,"ns/op",0,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,1.897389,0.003887,"ns/op",0,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,32.764239,0.396202,"ns/op",0,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,14.997327,0.228218,"ns/op",0,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,29.399744,0.568940,"ns/op",0,sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,14.956916,0.080909,"ns/op",0,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,55.283153,0.646747,"ns/op",0,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,17.446774,0.211078,"ns/op",0,reflection-locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,72.503143,1.091805,"ns/op",0,reflection-sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,16.378051,0.368407,"ns/op",0,reflection-sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,24.233808,0.560112,"ns/op",10,pooled,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,9.750598,0.031300,"ns/op",10,pooled,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,35.413206,0.159645,"ns/op",10,locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,21.994168,0.041189,"ns/op",10,locking,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,39.703181,1.071007,"ns/op",10,sync,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,19.066607,0.418121,"ns/op",10,sync,false
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,43.550176,1.096565,"ns/op",10,reflection-locking,true
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,27.626454,1.044598,"ns/op",10,reflection-locking,false
