"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: pooledObjectsCount","Param: sharedObjectKeepPercentage","Param: type"
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,160.189206,1.540042,"ns/op",1,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,272.754619,5.031062,"ns/op",1,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,420.712215,8.778642,"ns/op",1,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,160.087731,1.782669,"ns/op",1,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,275.357769,17.212957,"ns/op",1,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,415.235031,0.728973,"ns/op",1,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,102.730090,0.205425,"ns/op",1,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,131.176552,0.182559,"ns/op",1,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,221.186525,0.336034,"ns/op",1,1.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,158.270914,0.308596,"ns/op",10,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,274.218394,0.385881,"ns/op",10,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,415.275852,0.608630,"ns/op",10,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,139.957917,0.198597,"ns/op",10,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,202.893225,0.436539,"ns/op",10,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,324.024260,1.670296,"ns/op",10,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,100.103651,1.390476,"ns/op",10,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,134.092951,0.225339,"ns/op",10,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,225.342186,0.243285,"ns/op",10,1.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,159.197932,0.269465,"ns/op",100,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,271.094567,0.338017,"ns/op",100,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,416.526894,1.246880,"ns/op",100,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,132.724651,0.266335,"ns/op",100,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,206.141907,3.250119,"ns/op",100,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,327.674119,0.583954,"ns/op",100,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,104.885027,2.450470,"ns/op",100,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,135.046610,0.280105,"ns/op",100,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,231.674226,0.314646,"ns/op",100,1.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,161.350363,0.171426,"ns/op",1000,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,273.354982,0.409450,"ns/op",1000,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,416.797465,3.128191,"ns/op",1000,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,135.745254,0.186827,"ns/op",1000,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,208.943385,0.462670,"ns/op",1000,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,332.670602,0.587186,"ns/op",1000,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,114.079907,0.369913,"ns/op",1000,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,142.691911,0.302258,"ns/op",1000,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",1,5,252.166883,0.849659,"ns/op",1000,1.0,concurrent
