"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: tokens","Param: type"
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,1.897346,0.006458,"ns/op",0,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,15.088948,0.152179,"ns/op",0,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,14.986893,0.364299,"ns/op",0,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,17.440510,0.335623,"ns/op",0,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,18.819817,0.139370,"ns/op",0,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,9.739183,0.030887,"ns/op",10,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,20.911854,0.143178,"ns/op",10,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,19.203613,0.087085,"ns/op",10,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,26.952995,0.617954,"ns/op",10,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,25.161095,0.749806,"ns/op",10,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,148.327018,0.749927,"ns/op",100,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,156.889423,0.731159,"ns/op",100,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,154.720737,0.519238,"ns/op",100,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,166.167146,1.279445,"ns/op",100,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,198.400205,4.959719,"ns/op",100,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,1559.315548,34.599497,"ns/op",1000,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,1563.446678,7.410314,"ns/op",1000,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,1561.050963,5.136906,"ns/op",1000,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,1578.645825,14.016074,"ns/op",1000,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",4,5,1572.928192,16.162481,"ns/op",1000,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",4,5,1.908729,0.046856,"ns/op",0,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",4,5,547.943503,7.029154,"ns/op",0,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",4,5,236.180329,51.594726,"ns/op",0,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",4,5,624.316315,6.637821,"ns/op",0,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",4,5,264.217445,24.878119,"ns/op",0,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",4,5,9.751856,0.035458,"ns/op",10,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",4,5,591.147970,8.996408,"ns/op",10,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",4,5,219.019635,314.833452,"ns/op",10,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",4,5,536.899809,5.202789,"ns/op",10,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",4,5,286.154569,20.247071,"ns/op",10,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",4,5,148.383621,0.986628,"ns/op",100,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",4,5,404.906147,1.416512,"ns/op",100,locking
