"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: tokens","Param: type"
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,1.892932,0.002847,"ns/op",0,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,15.137522,0.017725,"ns/op",0,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,14.915198,0.017204,"ns/op",0,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,22.104202,0.046001,"ns/op",0,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,21.022108,0.161074,"ns/op",0,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,9.726522,0.034107,"ns/op",10,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,22.015534,0.030722,"ns/op",10,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,19.146252,0.036571,"ns/op",10,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,23.683644,0.018230,"ns/op",10,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,24.876330,6.039604,"ns/op",10,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,147.986433,0.240549,"ns/op",100,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,156.918922,0.130200,"ns/op",100,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,154.322944,0.264074,"ns/op",100,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,159.561749,0.399765,"ns/op",100,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,164.048323,2.841676,"ns/op",100,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,1551.547011,1.122594,"ns/op",1000,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,1560.474975,2.333687,"ns/op",1000,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,1557.817466,2.192501,"ns/op",1000,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,1564.004823,3.369965,"ns/op",1000,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,1564.186592,3.922460,"ns/op",1000,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1.892645,0.002069,"ns/op",0,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,202.384125,5.493294,"ns/op",0,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,82.642821,13.454658,"ns/op",0,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,203.582271,5.221609,"ns/op",0,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,85.397428,5.873179,"ns/op",0,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,9.723977,0.021520,"ns/op",10,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,205.429429,12.939621,"ns/op",10,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,140.487698,160.842110,"ns/op",10,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,214.809356,16.023038,"ns/op",10,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,95.262338,29.741565,"ns/op",10,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,148.032470,0.323954,"ns/op",100,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,256.752729,22.186042,"ns/op",100,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,481.305499,130.900944,"ns/op",100,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,292.443909,6.949179,"ns/op",100,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,509.813590,96.512971,"ns/op",100,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1552.102142,2.555470,"ns/op",1000,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1641.656165,29.416227,"ns/op",1000,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,5132.924096,2234.908703,"ns/op",1000,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1647.142394,34.671359,"ns/op",1000,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,4395.790167,424.366865,"ns/op",1000,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,2.063399,0.589436,"ns/op",0,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,15.037782,0.063907,"ns/op",0,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,14.917511,0.037036,"ns/op",0,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,17.594797,0.019747,"ns/op",0,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,43.357014,1.421224,"ns/op",0,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,9.724272,0.019845,"ns/op",10,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,20.583088,0.009189,"ns/op",10,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,19.145566,0.035453,"ns/op",10,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,23.331332,0.024180,"ns/op",10,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,23.720093,0.060406,"ns/op",10,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,147.990970,0.198984,"ns/op",100,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,156.347538,0.056121,"ns/op",100,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,154.290113,0.039266,"ns/op",100,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,159.581966,0.282797,"ns/op",100,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,159.992665,0.490317,"ns/op",100,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,1551.695001,1.174383,"ns/op",1000,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,1560.394135,1.531075,"ns/op",1000,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,1558.383639,3.525164,"ns/op",1000,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,1563.421205,0.845883,"ns/op",1000,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",2,5,1564.640768,5.025320,"ns/op",1000,reflection-sync
