"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: tokens","Param: type"
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,3.800060,0.060982,"ns/op",0,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,31.849870,0.365544,"ns/op",0,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,29.860944,0.049993,"ns/op",0,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,60.211862,3.153303,"ns/op",0,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,32.570616,0.229584,"ns/op",0,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,19.535353,0.404431,"ns/op",10,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,42.042690,0.895937,"ns/op",10,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,38.360831,0.237113,"ns/op",10,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,54.005047,0.410787,"ns/op",10,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,44.333872,0.240020,"ns/op",10,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,296.639082,1.561000,"ns/op",100,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,315.714743,6.873977,"ns/op",100,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,309.766337,5.023652,"ns/op",100,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,332.251600,5.353612,"ns/op",100,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,351.990153,4.826885,"ns/op",100,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,3107.058224,6.429404,"ns/op",1000,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,3124.826765,20.593723,"ns/op",1000,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,3121.136968,16.911431,"ns/op",1000,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,3144.740186,65.737734,"ns/op",1000,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",8,5,3145.597695,61.177806,"ns/op",1000,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,3.790967,0.012609,"ns/op",0,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,1149.168464,30.941712,"ns/op",0,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,123.752861,2.371503,"ns/op",0,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,1076.642004,3.846602,"ns/op",0,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,176.817648,4.650597,"ns/op",0,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,19.527617,0.363238,"ns/op",10,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,1151.105104,29.699389,"ns/op",10,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,185.986018,7.406613,"ns/op",10,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,1220.786327,5.474620,"ns/op",10,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,226.394791,8.470621,"ns/op",10,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,297.297584,7.017343,"ns/op",100,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,1171.785932,7.196295,"ns/op",100,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,1767.494895,47.803575,"ns/op",100,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,1020.355489,5.612972,"ns/op",100,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,1699.756079,15.778695,"ns/op",100,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,3108.683972,11.493424,"ns/op",1000,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,3321.968274,34.794624,"ns/op",1000,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,18637.492442,3820.627283,"ns/op",1000,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,3339.570586,49.928108,"ns/op",1000,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",8,5,17808.230649,3021.258370,"ns/op",1000,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",8,5,3.790140,0.012508,"ns/op",0,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",8,5,31.441340,0.108777,"ns/op",0,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",8,5,29.951653,0.115950,"ns/op",0,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",8,5,37.608537,0.908032,"ns/op",0,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",8,5,31.328651,0.694624,"ns/op",0,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",8,5,19.473434,0.057579,"ns/op",10,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",8,5,44.205058,0.099403,"ns/op",10,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",8,5,38.363893,0.146590,"ns/op",10,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",8,5,54.464014,0.502465,"ns/op",10,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testThread","avgt",8,5,50.006320,0.958853,"ns/op",10,reflection-sync
